name,brand,description,product_id,availability,price (NRs),avg_rating
"Purina and reg; Kit  and amp; Kaboodle and reg; Original Adult Cat Dry Food - Chicken, With Vitamins",Kit 'N Kaboodle,"Purina and reg; Kit  and amp; Kaboodle and reg; Original Adult Cat Dry Food - Chicken, With Vitamins",5139253,1,1423.8125,3.743
"Chicken Soup for the Soul All Life Stages Dry Dog Food - Grain Free, Lamb  and amp; Pea",Chicken Soup for the Soul,"Chicken Soup for the Soul All Life Stages Dry Dog Food - Grain Free, Lamb  and amp; Pea",5329365,1,2136.3125,4.265497674418605
ZuPreem and reg; NutBlend Bird Food,ZuPreem,ZuPreem and reg; NutBlend Bird Food,5167132,1,2136.3125,4.2727
"Top Paw and reg; Teal Floral Dog Leash: 6-ft long, 1-in wide",Top Paw,"Top Paw and reg; Teal Floral Dog Leash: 6-ft long, 1-in wide",5307432,1,2017.5624999999998,3.0
"Dentley's and reg; Rawhide-Free Mini Chomping Chews Dog Chew - Peanut Butter, 2 lb",Dentley's,"Dentley's and reg; Rawhide-Free Mini Chomping Chews Dog Chew - Peanut Butter, 2 lb",5291357,1,1898.8125,4.7368
Credelio Flea  and amp; Tick Chewable Tablets for Dogs  and amp; Puppies 4.4-6 lbs (56.25 mg) Yellow,Credelio,Credelio Flea  and amp; Tick Chewable Tablets for Dogs  and amp; Puppies 4.4-6 lbs (56.25 mg) Yellow,5316201,1,2528.1875,4.265497674418605
"Purina Pro Plan Focus Puppy Wet Dog Food - High Protein, 13 Oz",Purina Pro Plan,"Purina Pro Plan Focus Puppy Wet Dog Food - High Protein, 13 Oz",5067364,1,314.6875,4.7071
Pet Head Quick Fix No-Rinse Foam for Dogs - Peach + Argan Oil - 6.7 Oz,Pet Head,Pet Head Quick Fix No-Rinse Foam for Dogs - Peach + Argan Oil - 6.7 Oz,5307167,1,1542.5625,5.0
"Wellness and reg; CORE and reg; Simply Shreds Dog Food Topper - Natural, Grain Free, Tuna, Beef  and amp; Carrots",Wellness,"Wellness and reg; CORE and reg; Simply Shreds Dog Food Topper - Natural, Grain Free, Tuna, Beef  and amp; Carrots",5266326,1,225.625,4.4767
"Blue Buffalo and reg; Freedom and amp;trade;  Senior Dry Dog Food - Grain Free, Chicken",Blue Buffalo,"Blue Buffalo and reg; Freedom and amp;trade;  Senior Dry Dog Food - Grain Free, Chicken",5209448,0,2372.625,4.5957
Top Paw and reg; TUFF with Bite Shield and amp;trade; Protection Dinosaur Dog Toy - Tough Plush,Top Paw,Top Paw and reg; TUFF with Bite Shield and amp;trade; Protection Dinosaur Dog Toy - Tough Plush,5308133,1,1065.1875,3.3659
