breed
"0 Affenpinscher"
"1 Afghan_hound"
"2 African_hunting_dog"
"3 Airedale"
"4 American_Staffordshire_terrier"
"5 Appenzeller"
"6 Australian_terrier"
"7 Basenji"
"8 basset"
"9 beagle"
"10 Bedlington_terrier"
"11 Bernese_mountain_dog"
"12 black-and-tan_coonhound"
"13 Blenheim_spaniel"
"14 bloodhound"
"15 Bluetick"
"16 Border_collie"
"17 Border_terrier"
"18 borzoi"
"19 Boston_bull"
"20 Bouvier_des_Flandres"
"21 boxer"
"22 Brabancon_griffon"
"23 briard"
"24 Brittany_spaniel"
"25 bull_mastiff"
"26 cairn"
"27 Cardigan"
"28 Chesapeake_Bay_Retriever"
"29 Chihuahua"
"30 chow"
"31 clumber"
"32 cocker_spaniel"
"33 collie"
"34 curly-coated_retriever"
"35 Dandie_Dinmont"
"36 dhole"
"37 dingo"
"38 Doberman"
"39 English_foxhound"
"40 English_setter"
"41 English_springer"
"42 EntleBucher"
"43 Eskimo_dog"
"44 flat-coated_retriever"
"45 French_bulldog"
"46 German_shepherd"
"47 German_short-haired_pointer"
"48 giant_schnauzer"
"49 golden_retriever"
"50 Gordon_setter"
"51 Great_Dane"
"52 Great_Pyrenees"
"53 Greater_Swiss_Mountain_dog"
"54 groenendael"
"55 Ibizan_hound"
"56 Irish_setter"
"57 Irish_terrier"
"58 Irish_water_spaniel"
"59 Irish_wolfhound"
"60 Italian_greyhound"
"61 Japanese_spaniel"
"62 keeshond"
"63 kelpie"
"64 Kerry_blue_terrier"
"65 komondor"
"66 kuvasz"
"67 Labrador_retriever"
"68 Lakeland_terrier"
"69 Leonberg"
"70 Lhasa"
"71 malamute"
"72 malinois"
"73 Maltese"
"74 Mexican_hairless"
"75 miniature_pinscher"
"76 miniature_poodle"
"77 miniature_schnauzer"
"78 Newfoundland"
"79 Norfolk_terrier"
"80 Norwegian_elkhound"
"81 Norwich_terrier"
"82 Old_English_sheepdog"
"83 otterhound"
"84 papillon"
"85 Pekinese"
"86 Pembroke"
"87 Pomeranian"
"88 pug"
"89 redbone"
"90 Rhodesian_ridgeback"
"91 Rottweiler"
"92 Saint_Bernard"
"93 Saluki"
"94 Samoyed"
"95 schipperke"
"96 Scotch_terrier"
"97 Scottish_deerhound"
"98 Sealyham_terrier"
"99 Shetland_sheepdog"
"100 Shih-Tzu"
"101 Siberian_husky"
"102 silky_terrier"
"103 soft-coated_wheaten_terrier"
"104 Class 105"
"105 standard_poodle"
"106 standard_schnauzer"
"107 Sussex_spaniel"
"108 Tibetan_mastiff"
"109 Tibetan_terrier"
"110 toy_poodle"
"111 toy_terrier"
"112 Class 113"
"113 Walker_hound"
"114 Weimaraner"
"115 Welsh_springer_spaniel"
"116 West_Highland_white_terrier"
"117 whippet"
"118 wire-haired_fox_terrier"
"119 Yorkshire_terrier"
